title,primary_muscle_group,equipment,secondary_muscle_groups,id,type
21s Bicep Curl,biceps,barbell,[],3BC06AD3,weight_reps
Ab Scissors,abdominals,none,[],B4F2FF72,reps_only
Ab Wheel,abdominals,other,[],99D5F10E,reps_only
Aerobics,cardio,none,[],5E0DDACE,duration
Air Bike,cardio,machine,[],43573BB8,duration
Arnold Press (Dumbbell),shoulders,dumbbell,triceps,A69FF221,weight_reps
Around The World,chest,dumbbell,"upper_back, shoulders, lats",D4A2FE7E,weight_reps
Assisted Pistol Squats,quadriceps,none,"hamstrings, glutes",5BFF35BA,reps_only
Back Extension (Hyperextension),lower_back,machine,"hamstrings, glutes",4F5866F8,reps_only
Back Extension (Machine),lower_back,machine,[],A05C064D,weight_reps
Back Extension (Weighted Hyperextension),lower_back,machine,"hamstrings, glutes",091737FA,bodyweight_weighted
Ball Slams,full_body,other,[],F51D9080,weight_reps
Band Pullaparts,shoulders,resistance_band,upper_back,E8D86EE8,reps_only
Battle Ropes,cardio,machine,[],084A67CA,duration
Behind the Back Bicep Wrist Curl (Barbell),forearms,barbell,[],DDB29047,weight_reps
Behind the Back Curl (Cable),biceps,machine,[],2DBCA395,weight_reps
Belt Squat (Machine),quadriceps,machine,"glutes, hamstrings",3D1CDC75,weight_reps
Bench Dip,triceps,other,"shoulders, chest",CD6DC8E5,reps_only
Bench Press (Barbell),chest,barbell,"triceps, shoulders",79D0BB3A,weight_reps
Bench Press (Cable),chest,machine,"shoulders, triceps",99C1F2AD,weight_reps
Bench Press - Close Grip (Barbell),triceps,barbell,"chest, shoulders",35B51B87,weight_reps
Bench Press (Dumbbell),chest,dumbbell,"triceps, shoulders",3601968B,weight_reps
Bench Press (Smith Machine),chest,machine,"shoulders, triceps",0FBF7195,weight_reps
Bench Press - Wide Grip (Barbell),chest,barbell,"shoulders, triceps",E644F828,weight_reps
Bent Over Row (Band),upper_back,resistance_band,"lats, biceps, forearms",EA820646,weight_reps
Bent Over Row (Barbell),upper_back,barbell,"lats, biceps, forearms",55E6546F,weight_reps
Bent Over Row (Dumbbell),upper_back,dumbbell,"lats, biceps, forearms",23E92538,weight_reps
Bicep Curl (Barbell),biceps,barbell,[],A5AC6449,weight_reps
Bicep Curl (Cable),biceps,machine,[],ADA8623C,weight_reps
Bicep Curl (Dumbbell),biceps,dumbbell,[],37FCC2BB,weight_reps
Bicep Curl (Machine),biceps,machine,[],AF328E3D,weight_reps
Bicep Curl (Suspension),biceps,suspension,[],0B4C1902,reps_only
Bicycle Crunch,abdominals,none,[],A41C7261,reps_only
Bicycle Crunch Raised Legs,abdominals,none,[],594450D2,reps_only
Bird Dog,glutes,none,"hamstrings, shoulders",BD0AD077,reps_only
Boxing,cardio,none,[],A0D8FA1B,duration
Box Jump,quadriceps,other,"hamstrings, glutes, calves",56092DD1,reps_only
Box Squat (Barbell),quadriceps,barbell,"hamstrings, glutes",38FC1AB9,weight_reps
Bulgarian Split Squat,quadriceps,dumbbell,"glutes, hamstrings",B5D3A742,weight_reps
Burpee,full_body,none,[],BB792A36,reps_only
Burpee Over the Bar,full_body,none,[],86B00DDE,reps_only
Butterfly (Pec Deck),chest,machine,[],9DCE2D64,weight_reps
Cable Core Palloff Press,abdominals,machine,"chest, shoulders, triceps",CC55119B,weight_reps
Cable Crunch,abdominals,machine,[],23A48484,weight_reps
Cable Fly Crossovers,chest,machine,[],651F844C,weight_reps
Cable Pull Through,glutes,machine,"hamstrings, lower_back",8C331CD8,weight_reps
Cable Twist (Down to up),abdominals,machine,[],92D858EA,weight_reps
Cable Twist (Up to down),abdominals,machine,[],A2D838BD,weight_reps
Calf Extension (Machine),calves,machine,[],47B9DF13,weight_reps
Calf Press (Machine),calves,machine,[],91237BDD,weight_reps
Chest Dip,chest,machine,"shoulders, triceps",6FCD7755,reps_only
Chest Dip (Assisted),chest,machine,"triceps, shoulders",E9E4089F,bodyweight_assisted
Chest Dip (Weighted),chest,machine,"triceps, shoulders",29472BE1,bodyweight_weighted
Chest Fly (Band),chest,resistance_band,[],DDB7C19F,weight_reps
Chest Fly (Dumbbell),chest,dumbbell,[],12017185,weight_reps
Chest Fly (Machine),chest,machine,[],78683336,weight_reps
Chest Fly (Suspension),chest,suspension,[],720B0D70,reps_only
Chest Press (Band),chest,resistance_band,"shoulders, triceps",EAC7D9C5,weight_reps
Chest Press (Machine),chest,machine,"shoulders, triceps",7EB3F7C3,weight_reps
Chest Supported Incline Row (Dumbbell),upper_back,dumbbell,"lats, biceps, forearms",914F3A96,weight_reps
Chest Supported Reverse Fly (Dumbbell),shoulders,dumbbell,upper_back,B582299E,weight_reps
Chest Supported Y Raise (Dumbbell),shoulders,dumbbell,upper_back,F21D5693,weight_reps
Chin Up,lats,machine,"upper_back, biceps, forearms",29083183,reps_only
Chin Up (Assisted),lats,machine,"upper_back, biceps, forearms",D23C609B,bodyweight_assisted
Chin Up (Weighted),lats,machine,"upper_back, biceps, forearms",023943F1,bodyweight_weighted
Clamshell,glutes,resistance_band,[],CC016611,reps_only
Clap Push Ups,chest,none,"triceps, shoulders",10D76E8F,reps_only
Clean,full_body,barbell,[],ABB00838,weight_reps
Clean and Jerk,full_body,barbell,[],9E09CEC3,weight_reps
Clean and Press,full_body,barbell,[],D3095577,weight_reps
Clean Pull,full_body,barbell,[],652FEA39,weight_reps
Climbing,cardio,none,[],E23F1F2B,duration
Concentration Curl,biceps,dumbbell,[],724CDE60,weight_reps
Cross Body Hammer Curl,biceps,dumbbell,forearms,32C4D4A2,weight_reps
Crunch,abdominals,none,[],DCF3B31B,reps_only
Crunch (Machine),abdominals,machine,[],EB43ADD4,weight_reps
Crunch (Weighted),abdominals,none,[],D928C232,bodyweight_weighted
Curtsy Lunge (Dumbbell),quadriceps,dumbbell,"glutes, hamstrings, adductors",D39EC9EB,weight_reps
Cycling,cardio,machine,[],D8F7F851,distance_duration
Dead Bug,abdominals,none,[],D8911FC4,reps_only
Dead Hang,upper_back,none,"lats, forearms",B9380898,duration
Deadlift (Band),glutes,resistance_band,"hamstrings, quadriceps, lower_back, upper_back, lats, traps",99507114,weight_reps
Deadlift (Barbell),glutes,barbell,"hamstrings, quadriceps, lower_back, upper_back, lats, traps",C6272009,weight_reps
Deadlift (Dumbbell),glutes,dumbbell,"hamstrings, quadriceps, lower_back, upper_back, lats, traps",5F4E6DD3,weight_reps
Deadlift High Pull,full_body,barbell,[],FA5D0DE1,weight_reps
Deadlift (Smith Machine),glutes,machine,"hamstrings, quadriceps, lower_back, upper_back, lats, traps",20870ED5,weight_reps
Deadlift (Trap bar),glutes,barbell,"hamstrings, quadriceps, lower_back, upper_back, lats, traps",B923B230,weight_reps
Decline Bench Press (Barbell),chest,barbell,"shoulders, triceps",DA0F0470,weight_reps
Decline Bench Press (Dumbbell),chest,dumbbell,"shoulders, triceps",18487FA7,weight_reps
Decline Bench Press (Machine),chest,machine,"shoulders, triceps",FAF31231,weight_reps
Decline Bench Press (Smith Machine),chest,machine,"shoulders, triceps",FFC106CB,weight_reps
Decline Chest Fly (Dumbbell),chest,dumbbell,[],A351AED7,weight_reps
Decline Crunch,abdominals,none,[],BC10A922,reps_only
Decline Crunch (Weighted),abdominals,none,[],B2398CD1,bodyweight_weighted
Decline Push Up,chest,other,"shoulders, triceps",C43825EA,reps_only
Diamond Push Up,triceps,none,"chest, shoulders",6575F52D,reps_only
Downward Dog,full_body,none,[],7DA843A3,reps_only
Drag Curl,biceps,barbell,[],D950429E,weight_reps
Dragon Flag,abdominals,none,[],AFC29472,reps_only
Dragonfly,abdominals,none,[],B7192800,reps_only
Dumbbell Row,lats,dumbbell,"upper_back, biceps, forearms",F1E57334,weight_reps
Dumbbell Snatch,full_body,dumbbell,[],F3717B0E,weight_reps
Dumbbell Squeeze Press,chest,dumbbell,"shoulders, triceps",F72FA239,weight_reps
Dumbbell Step Up,quadriceps,dumbbell,"glutes, hamstrings",BF6ECE89,weight_reps
Elbow to Knee,abdominals,none,[],A01BE509,reps_only
Elliptical Trainer,cardio,machine,[],3303376C,distance_duration
EZ Bar Biceps Curl,biceps,barbell,[],01A35BF9,weight_reps
Face Pull,shoulders,machine,biceps,BE640BA0,weight_reps
Farmers Walk,full_body,other,[],50C613D0,short_distance_weight
Feet Up Bench Press (Barbell),chest,barbell,"shoulders, triceps",867AC3B6,weight_reps
Fire Hydrants,glutes,none,[],2AF8B552,reps_only
Floor Press (Barbell),chest,barbell,"shoulders, triceps",D53F2886,weight_reps
Floor Press (Dumbbell),chest,dumbbell,"shoulders, triceps",756EE329,weight_reps
Floor Triceps Dip,triceps,none,shoulders,A57D38D5,reps_only
Flutter Kicks,abdominals,none,[],2FA77B28,reps_only
Forearm Curl (Cable),forearms,machine,[],d1845133-c9ce-433c-aceb-0c06e4fa533e,weight_reps
Frog Jumps,quadriceps,none,"glutes, hamstrings, calves",207DC636,reps_only
Frog Pumps (Dumbbell),glutes,dumbbell,hamstrings,F6948F17,weight_reps
Front Lever Hold,full_body,none,[],0E608350,duration
Front Lever Raise,full_body,none,[],30F03BF0,reps_only
Front Raise (Band),shoulders,resistance_band,[],47B036EF,weight_reps
Front Raise (Barbell),shoulders,barbell,[],BD86EFD5,weight_reps
Front Raise (Cable),shoulders,machine,[],DBB91A3C,weight_reps
Front Raise (Dumbbell),shoulders,dumbbell,[],8293E554,weight_reps
Front Raise (Suspension),shoulders,suspension,[],796E8E2C,reps_only
Front Squat,quadriceps,barbell,"hamstrings, glutes",5046D0A9,weight_reps
Full Squat,quadriceps,barbell,"hamstrings, glutes",1283BBA6,weight_reps
Glute Bridge,glutes,none,"hamstrings, quadriceps",CDA23948,reps_only
Glute Ham Raise,hamstrings,machine,glutes,68B83EE0,reps_only
Glute Kickback (Machine),glutes,machine,hamstrings,CBA02382,weight_reps
Glute Kickback on Floor,glutes,none,hamstrings,987234AB,reps_only
Goblet Squat,quadriceps,dumbbell,"hamstrings, glutes",3D0C7C75,weight_reps
Good Morning (Barbell),hamstrings,barbell,"glutes, lower_back, upper_back, lats",4180C405,weight_reps
Gorilla Row (Kettlebell),upper_back,kettlebell,"lats, biceps, forearms",05487216,weight_reps
Hack Squat,quadriceps,barbell,"hamstrings, glutes",AC5A4C58,weight_reps
Hack Squat (Machine),quadriceps,machine,"glutes, hamstrings",1E42FD5F,weight_reps
Hammer Curl (Band),biceps,resistance_band,forearms,1D4B3D6B,weight_reps
Hammer Curl (Cable),biceps,machine,forearms,36E8F14E,weight_reps
Hammer Curl (Dumbbell),biceps,dumbbell,forearms,7E3BC8B6,weight_reps
Handstand Hold,full_body,none,[],BE3615CF,duration
Handstand Push Up,shoulders,none,"chest, triceps",90B04F96,reps_only
Hang Clean,full_body,barbell,[],BD4E7E53,weight_reps
Hanging Knee Raise,abdominals,none,forearms,08590920,reps_only
Hanging Leg Raise,abdominals,none,forearms,F8356514,reps_only
Hang Snatch,full_body,barbell,[],F4E77594,weight_reps
Heel Taps,abdominals,none,[],567FB505,reps_only
Hex Press (Dumbbell),chest,dumbbell,"shoulders, triceps",BE89C631,weight_reps
High Knees,full_body,none,[],150E076B,reps_only
High Knee Skips,full_body,none,[],C9CCB878,reps_only
HIIT,cardio,none,[],023947AB,duration
Hiking,cardio,none,[],1C34A172,distance_duration
Hip Abduction (Machine),abductors,machine,[],F4B4C6EE,weight_reps
Hip Adduction (Machine),adductors,machine,[],8BEBFED6,weight_reps
Hip Thrust,glutes,none,"hamstrings, quadriceps",92B8C7E1,reps_only
Hip Thrust (Barbell),glutes,barbell,"hamstrings, quadriceps, adductors",D57C2EC7,weight_reps
Hip Thrust (Machine),glutes,machine,"hamstrings, quadriceps, adductors",68CE0B9B,weight_reps
Hip Thrust (Smith Machine),glutes,machine,"hamstrings, quadriceps, adductors",291ABA92,weight_reps
Hollow Rock,abdominals,none,[],970ADF87,duration
Incline Bench Press (Barbell),chest,barbell,"triceps, shoulders",50DFDFAB,weight_reps
Incline Bench Press (Dumbbell),chest,dumbbell,"triceps, shoulders",07B38369,weight_reps
Incline Bench Press (Smith Machine),chest,machine,"shoulders, triceps",3A6FA3D1,weight_reps
Incline Chest Fly (Dumbbell),chest,dumbbell,[],D3E2AB55,weight_reps
Incline Chest Press (Machine),chest,machine,"shoulders, triceps",FBF92739,weight_reps
incline pull,upper_back,machine,[],a0d0a4ec-5e98-4530-a52f-0c50f4e5d09c,weight_reps
Incline Push Ups,chest,none,"shoulders, triceps",39C99849,reps_only
Inverted Row,upper_back,machine,"lats, biceps, forearms",425805F4,reps_only
Iso-Lateral Chest Press (Machine),chest,machine,"shoulders, triceps",24706DCD,weight_reps
